DATE,USALOLITOAASTSAM
1990-01-01,99.793617721685
1990-02-01,99.8240865649965
1990-03-01,99.8219147513148
1990-04-01,99.7422229824026
1990-05-01,99.5658698610994
1990-06-01,99.2723111709919
1990-07-01,98.8669926004058
1990-08-01,98.3816266489937
1990-09-01,97.8908438493737
1990-10-01,97.4654538863944
1990-11-01,97.172648085622
1990-12-01,97.0582637852475
1991-01-01,97.1218656497179
1991-02-01,97.3458221621192
1991-03-01,97.6767695172649
1991-04-01,98.0524763271075
1991-05-01,98.426717417015
1991-06-01,98.7669329072197
1991-07-01,99.0258652119129
1991-08-01,99.1646869576961
1991-09-01,99.1903529271932
1991-10-01,99.1362006300184
1991-11-01,99.0579679905668
1991-12-01,99.0209329947154
1992-01-01,99.0703889975044
1992-02-01,99.1976297018676
1992-03-01,99.3696330472317
1992-04-01,99.5246932885514
1992-05-01,99.6241840491171
1992-06-01,99.6552247292567
1992-07-01,99.645877679807
1992-08-01,99.6376645856956
1992-09-01,99.67424954215
1992-10-01,99.7799839161542
1992-11-01,99.932017957539
1992-12-01,100.068153714758
1993-01-01,100.134664955316
1993-02-01,100.117486252883
1993-03-01,100.022980550991
1993-04-01,99.8827493307603
1993-05-01,99.7212405516384
1993-06-01,99.5858453195182
1993-07-01,99.5117651089325
1993-08-01,99.5251369255799
1993-09-01,99.6319276002031
1993-10-01,99.8218245408579
1993-11-01,100.063072656407
1993-12-01,100.330106294239
1994-01-01,100.580021313011
1994-02-01,100.783806876951
1994-03-01,100.936827371547
1994-04-01,101.034712684127
1994-05-01,101.078644533117
1994-06-01,101.075011777983
1994-07-01,101.039049423587
1994-08-01,100.986448135073
1994-09-01,100.918546244146
1994-10-01,100.827778941441
1994-11-01,100.690788386368
1994-12-01,100.496136476713
1995-01-01,100.237964013561
1995-02-01,99.917929352038
1995-03-01,99.56728684686
1995-04-01,99.2393856818162
1995-05-01,98.9813296051739
1995-06-01,98.8098925423571
1995-07-01,98.7109317478972
1995-08-01,98.6490691181574
1995-09-01,98.5953179724579
1995-10-01,98.5502437106861
1995-11-01,98.5288321690101
1995-12-01,98.5460374671252
1996-01-01,98.6133595992074
1996-02-01,98.7378706899053
1996-03-01,98.9068580725693
1996-04-01,99.0838757264247
1996-05-01,99.2509763006115
1996-06-01,99.387772876848
1996-07-01,99.4842852506301
1996-08-01,99.5611661032495
1996-09-01,99.6342623921734
1996-10-01,99.7086492873009
1996-11-01,99.7927876563761
1996-12-01,99.8829788864294
1997-01-01,99.9887206449657
1997-02-01,100.118620080466
1997-03-01,100.258980255959
1997-04-01,100.404945723934
1997-05-01,100.547420086863
1997-06-01,100.680015308523
1997-07-01,100.79111254218
1997-08-01,100.864078987439
1997-09-01,100.905417361438
1997-10-01,100.919933576203
1997-11-01,100.908913992178
1997-12-01,100.882429179664
1998-01-01,100.846865130634
1998-02-01,100.795023845509
1998-03-01,100.704583841622
1998-04-01,100.571097911964
1998-05-01,100.399428827378
1998-06-01,100.201453034579
1998-07-01,100.008921631674
1998-08-01,99.8468276314686
1998-09-01,99.7483170506992
1998-10-01,99.7488850749142
1998-11-01,99.8521786721635
1998-12-01,100.02110106417
1999-01-01,100.230018266072
1999-02-01,100.44279153466
1999-03-01,100.634099021668
1999-04-01,100.801550332989
1999-05-01,100.945016456845
1999-06-01,101.053981945293
1999-07-01,101.132010174827
1999-08-01,101.188900890168
1999-09-01,101.239204080068
1999-10-01,101.291333197911
1999-11-01,101.346035402948
1999-12-01,101.384884852729
2000-01-01,101.381039812835
2000-02-01,101.317175523347
2000-03-01,101.220676763475
2000-04-01,101.099940959477
2000-05-01,100.952503005253
2000-06-01,100.786807308006
2000-07-01,100.60310497546
2000-08-01,100.386452448295
2000-09-01,100.133576632347
2000-10-01,99.8275124743244
2000-11-01,99.4783048421988
2000-12-01,99.1013540634412
2001-01-01,98.7566363774842
2001-02-01,98.4913474456155
2001-03-01,98.3183793244276
2001-04-01,98.2287703684143
2001-05-01,98.1998448038534
2001-06-01,98.1753021097432
2001-07-01,98.1295257857165
2001-08-01,98.0651198003876
2001-09-01,98.0231546666871
2001-10-01,98.0746329367731
2001-11-01,98.2458722113022
2001-12-01,98.5154462210444
2002-01-01,98.827836687299
2002-02-01,99.1243401102974
2002-03-01,99.3483395032756
2002-04-01,99.443807966212
2002-05-01,99.3879701269468
2002-06-01,99.1899950806386
2002-07-01,98.9037327404419
2002-08-01,98.597655479391
2002-09-01,98.3134309346171
2002-10-01,98.0895913767294
2002-11-01,97.9418026354002
2002-12-01,97.842851521448
2003-01-01,97.7709808757907
2003-02-01,97.7370790552522
2003-03-01,97.7734250758846
2003-04-01,97.906864856309
2003-05-01,98.1337340432854
2003-06-01,98.4258680249892
2003-07-01,98.7682513516766
2003-08-01,99.1496677738427
2003-09-01,99.5582610823147
2003-10-01,99.9723840845758
2003-11-01,100.358312632564
2003-12-01,100.681939674653
2004-01-01,100.925712293928
2004-02-01,101.071427155421
2004-03-01,101.138375031576
2004-04-01,101.138520044065
2004-05-01,101.095309613667
2004-06-01,101.017862266532
2004-07-01,100.911781880608
2004-08-01,100.793192738765
2004-09-01,100.68911902956
2004-10-01,100.618138667925
2004-11-01,100.588595970939
2004-12-01,100.572773226003
2005-01-01,100.533401034884
2005-02-01,100.463199121554
2005-03-01,100.373891286556
2005-04-01,100.303690285836
2005-05-01,100.278383275106
2005-06-01,100.30179557368
2005-07-01,100.358120612804
2005-08-01,100.441888913894
2005-09-01,100.562291006803
2005-10-01,100.728764357708
2005-11-01,100.925167881648
2005-12-01,101.110068900075
